Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
8828	-0.07429719	-0.121696872	0.017424089	-0.070920677	-0.077850218
57448	0.09538606	-0.214252977	-0.09623386	-1.062440522	-0.063877683
55706	-0.3688148	0.035854652	-0.394237042	-0.356532663	0.018406156
402381	0.2088709	-0.192039807	-0.063120998	-0.182183476	-0.07724354
7323	-0.02667827	0.034181132	-0.374728543	-0.270546759	-0.174068662
8915	0.2796558	-0.147018613	-0.255988128	-0.35579411	-0.485983602
1287	0.2131013	0.080566631	0.026708863	-0.003124142	-0.237383072
8725	0.2941387	0.065772065	0.153666531	-0.296849665	0.157366264
25939	-0.06142617	-0.047039818	-0.555953398	0.127205261	-0.321622062
140881	0.09307691	0.2548503	-0.004308825	-0.309230191	-0.115065205
80067	-0.03145022	-0.154339838	-0.631862296	-1.432590956	-0.164743245
23471	-0.05253608	0.181267315	-1.62146177	0.04341301	0.36028562
7106	-0.327725	-0.047126019	-0.105442383	-0.242818616	-0.218289111
2707	-0.1745274	-0.048860349	-0.164238402	-0.836532832	-0.731988988
1654	-0.04537227	0.157690191	-0.758160025	-0.731819319	-0.268024778
3394	0.3885921	0.447677146	-0.050814743	0.140383209	0.030734848
51614	-0.1057057	-0.171137974	-0.149717428	-0.041376519	-0.094227019
8913	0.01694508	0.030766399	-0.13900395	0.1385475	-0.088709268
515	0.1093336	-0.130601893	-0.169232972	-0.160836607	0.043832606
1823	0.05987682	0.051865169	-0.026298841	-0.113772933	-0.259801523
581	-0.1123106	-0.033012893	-0.113912116	1.095197133	0.784663408
56135	0.03171231	0.361453894	-1.086269854	-0.589807565	-0.635535518
1902	0.3917861	0.264187212	0.040721869	-0.13385981	0.132672859
1514	0.1696451	-0.295842569	0.514458737	-0.41909692	-0.047643307
26019	-0.273961	-0.100209002	-0.237234885	-1.343744322	0.064108645
288	0.5216652	0.198066694	1.521392372	0.660765794	1.227178102
9649	-0.04720588	0.061150907	0.099580549	0.160778818	-0.003091761
517	-0.1998252	-0.072233389	-0.36046595	0.094991434	-0.201529293
55349	-0.05373713	-0.010399406	0.065489803	-0.02464721	-0.215584662
10810	-0.2926378	-0.04116105	-0.326214878	-0.174585334	-0.178533499
3839	-0.1590616	0.0490947	-0.076087122	-0.767188793	0.337649903
